product_code,brand_name,generic_name,brand_description,department,dosage_form,unit,category,raw_cost,company,full_pack_quantity,unit_quantity
6044.00,A- ZED,,A- ZED CAPS  X 20,Pharmacy,CAPSULES,BLISTER,,195,,20,10
,AB-MULTI-CHLOR WATER PURIFICATION,,AB-MULTI-CHLOR WATER PURIFICATION TABS 75MG X 100,Pharmacy,TABLETS,BLISTER,,1400,ABJ PHARMACEUTICAL LIMITED,100,10
1008695.00,ACECLOFENAC (MULTICOY),Aceclofenac,ACECLOFENAC (MULTICOY) TABS  X 100,Pharmacy,TABLETS,BLISTER,Non-steroidal anti-inflammatory drugs (NSAIDs),920,,100,10
8906040000000.00,ACETAZOLAMIDE,Acetazolamide,ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 30,Pharmacy,TABLETS,BLISTER,Carbonic anhydrase inhibitors,1450,,30,10
15055.00,acetazolamide,Acetazolamide,ACETAZOLAMIDE (MULTICOY)  TABS 250MG X 500,Pharmacy,TABLETS,PCS,Carbonic anhydrase inhibitors,16000,,500,1
6013037.00,ACOFENAC,Diclofenac,ACOFENAC TABS  X 100,Pharmacy,TABLETS,BLISTER,Non-steroidal anti-inflammatory drugs (NSAIDs),600,,100,10
6008895.00,ACTIVODYN,,ACTIVODYN CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Multivitamin and amino acid preparations,290,OANG LIMITED,30,15
15361.00,ADALAT LA,Nifedipine,ADALAT LA TABS 30MG X 30,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,4650,,30,10
15363.00,AdALAT LA,Nifedipine,ADALAT LA TABS 60MG X 30,Pharmacy,TABLETS,BLISTER,Calcium-channel blockers,8435,,30,10
1008774.00,ADRIDE,Glimepiride,ADRIDE TABS 2MG X 30,Pharmacy,TABLETS,SACHET,Oral antidiabetic drugs,565,,30,10
6010179.00,advant,Candesartan,ADVANT TABS 16MG X 28,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,2700,,28,7
6010492.00,ADVANT,Candesartan,ADVANT TABS 8MG X 14,Pharmacy,TABLETS,BLISTER,Angiotensin Receptor Blocker,1250,,14,7
6010487.00,ADVANTEC,Candesartan and Hydrochlorothiazide,ADVANTEC  16MG/12.5MG X 28,Pharmacy,,BLISTER,Angiotensin Receptor Blocker,3150,,28,7
6012954.00,africlo cod liver oil,Cod Liver Oil,AFRICLO COD LIVER OIL CAPS 1000MG X 30,Pharmacy,CAPSULES,BLISTER,Vitamins,450,,30,15
6011979.00,AFTER 5,,AFTER 5 POWDER  X 120,Pharmacy,POWDER,BLISTER,,4500,,120,1
7767.00,akineton,Biperiden,AKINETON INJ 5MG 1ML,Pharmacy,INJECTION (SOLUTION),AMPOULES,,4700,,5,1ml
1001011.00,ALABUKUN,,ALABUKUN POWDER 2G X 100,Pharmacy,POWDER,PACK,Non-opioid analgesics and antipyretics,890,,100,10
1007919.00,ALDACTONE,Spironolactone,ALDACTONE TABS 25MG X 100,Pharmacy,TABLETS,SACHET,POTASSIUM-SPARING DIURETICS,6105,,100,10
1001152.00,ALDACTONE,Spironolactone,ALDACTONE TABS 25MG X 20,Pharmacy,TABLETS,SACHET,POTASSIUM-SPARING DIURETICS,1800,WWCVL (PFIZER),20,10
1007865.00,ALDOCURE,Methyldopa,ALDOCURE TABS 250MG X 100,Pharmacy,TABLETS,SACHET,CENTRALLY ACTING ANTIHYPERTENSIVE DRUGS,1950,,100,10
6013155.00,ALDOMET,,ALDOMET (PARALLEL)  TABS  X 100,Pharmacy,TABLETS,BLISTER,,4500,,100,10
6001390000000.00,ALDOMET,Methyldopate Hydrochloride,ALDOMET TABS 250MG X 60 [ENGLAND],Pharmacy,TABLETS,SACHET,CENTRALLY ACTING ANTIHYPERTENSIVE DRUGS,2400,,60,10
6012608.00,ALENDROIC ACID,Alendronate,ALENDROIC ACID TABS  X 28,Pharmacy,TABLETS,BLISTER,,900,,28,14
6013498.00,ALGAFEN(EVANS BAROQUE),Ibuprofen,ALGAFEN(EVANS BAROQUE) TABS 200MG X 100,Pharmacy,TABLETS,BLISTER,,960,,100,10
6013445.00,allglobin,,ALLGLOBIN CAPS  X 30,Pharmacy,CAPSULES,BLISTER,,1350,,30,15
7016.00,ALLOPURINOL,Allopurinol,ALLOPURINOL TABS 100MG X 28 [ENGLAND],Pharmacy,TABLETS,BLISTER,DRUGS USED IN GOUT,990,,28,14
6970.00,ALLOPURINOL,Allopurinol,ALLOPURINOL TABS 300MG X 28 [ENGLAND],Pharmacy,TABLETS,BLISTER,DRUGS USED IN GOUT,1335,,28,14
5017010000000.00,alluporinol,Allopurinol,ALLUPORINOL TABS 300MG X 28 {TEVA},Pharmacy,TABLETS,BLISTER,DRUGS USED IN GOUT,1350,,28,14
14832.00,ALOE-COD,Cod Liver Oil,ALOE-COD CAPS 1000MG X 30,Pharmacy,CAPSULES,BLISTER,Vitamins,900,,30,15
14833.00,ALOE-COD,Cod Liver Oil,ALOE-COD CAPS 300MG X 30,Pharmacy,CAPSULES,BLISTER,Vitamins,450,,30,15
12361.00,ALPHA-APETI,,ALPHA-APETI TABS  X 30,Pharmacy,TABLETS,BLISTER,Antihistamines,1800,,30,10
6013238.00,ALPHAMET(methyldopa),Methyldopa,ALPHAMET(METHYLDOPA) TABS 250MG X 100,Pharmacy,TABLETS,SACHET,,1605,,100,10
6010797.00,alphaquine,,ALPHAQUINE TABS 300MG X 100,Pharmacy,TABLETS,BLISTER,,4700,,100,10
,ALTADON-2,Risperidone,ALTADON-2 TABS 2MG X 30,Pharmacy,TABLETS,BLISTER,,1600,PHARMACY PLUS LIMITED,30,10
9104.00,AMALAR PLUS,Artesunate + Sulfadoxine and Pyrimethamine,AMALAR PLUS TABS  X 150,Pharmacy,TABLETS,BLISTER,,2375,,150,3
1000069.00,AMALAR,Sulfadoxine and Pyrimethamine,AMALAR TABS  X 50,Pharmacy,TABLETS,BLISTER,,13250,ELBE PHARMA NIG LTD,50,1
3582910000000.00,Amaryl,Glimepiride,AMARYL TABS 1MG X 30,Pharmacy,TABLETS,SACHET,Oral antidiabetic drugs,1675,WWCVL (SANOFI),30,15
3582910000000.00,Amaryl,Glimepiride,AMARYL TABS 2MG X 30,Pharmacy,TABLETS,BLISTER,Oral antidiabetic drugs,3400,WWCVL (SANOFI),30,15
3582910000000.00,Amaryl,Glimepiride,AMARYL TABS 4MG X 30,Pharmacy,TABLETS,BLISTER,Oral antidiabetic drugs,5535,WWCVL (SANOFI),30,15
6010500.00,AMCARD,,AMCARD TABS 10MG X 30,Pharmacy,TABLETS,BLISTER,,570,,30,10
6010501.00,AMCARD,,AMCARD TABS 5MG X 30,Pharmacy,TABLETS,BLISTER,,470,,30,10
11610.00,AMIDREX,Risperidone,AMIDREX  2MG TAB X 30,Pharmacy,TABLETS,BLISTER,Drugs used in Psychotic Disorders,1700,,30,10
8906000000000.00,AMINODYN PLUS,,AMINODYN PLUS CAPS  X 30,Pharmacy,CAPSULES,BLISTER,Multivitamin and amino acid preparations,200,AWARD GLOBAL COMPANY LTD.,30,15
6013040.00,aminogard,,AMINOGARD TABS  X 100,Pharmacy,TABLETS,BLISTER,Multivitamin and amino acid preparations,2225,,100,10
6631.00,AMINOPHILIN,Aminophylline,AMINOPHILIN INJ 250MG X 100,Pharmacy,INJECTION (SOLUTION),AMPOULES,BRONCHODILATORS,4000,,100,1
